TID,VARIANT,JOIN_TIMESTAMP_DAY,MINUTES_IN_APP,SESSIONS,SEARCH_REVENUE,PROGRAMMATIC_REVENUE
433397e5e359e6f3,2,2017-05-24 00:00:00+00:00,248.179,48,0.00048,0.002484
c116943f9549cac1,2,2017-05-24 00:00:00+00:00,30.26385,1,0,0.000360
db1a79531eb24a7e,0,2017-05-24 00:00:00+00:00,43.0099,11,0,0.001662
97f6f713e303b42,0,2017-05-24 00:00:00+00:00,78.61063333,6,0,0.016808
81bc43ac8211e4f8,1,2017-05-24 00:00:00+00:00,514.9859333,53,0.00096,0.056961
ba3b433ce528ed34,1,2017-05-24 00:00:00+00:00,817.1602167,91,0.00672,0.044625
5921d3c47a2b96f5,1,2017-05-24 00:00:00+00:00,728.8509833,71,0.0048,0.042534
981a891cbe58703d,2,2017-05-24 00:00:00+00:00,25.32013333,4,0.00048,0.000243
60b7083580d6c61a,2,2017-05-24 00:00:00+00:00,25.0035,5,0.00144,0.000154
c3fac6c557f1b519,2,2017-05-24 00:00:00+00:00,42.49556667,3,0.00048,0.014916
b2e17bbfee622122,0,2017-05-24 00:00:00+00:00,37.687,1,0.00528,0.000570
fd85026d094b17fa,1,2017-05-24 00:00:00+00:00,339.12115,34,0.00288,0.012929
3cdfbe2f2acd892a,2,2017-05-24 00:00:00+00:00,1090.844467,154,0,0.009970
eece9b93e7a92765,2,2017-05-24 00:00:00+00:00,33.89541667,5,0,0.012955
85a17c8d9f61cab0,2,2017-05-24 00:00:00+00:00,6.2598,1,0,0.000150
b5c7ce4d832c4245,0,2017-05-24 00:00:00+00:00,18.03888333,1,0.00144,0.000150
860ff64e8943724f,1,2017-05-24 00:00:00+00:00,8.822516667,1,0.00096,0.000285
b3ddd95ca814e85d,0,2017-05-24 00:00:00+00:00,87.98018333,11,0.00144,0.002641
a530e71a60341d95,0,2017-05-24 00:00:00+00:00,5.7082,3,0,0.000248
14226d42d60d7816,2,2017-05-24 00:00:00+00:00,2.503833333,1,0,0.000090
a2a09d3764befae,2,2017-05-24 00:00:00+00:00,64.7526,5,0,0.002410
e6663118ddf39d52,2,2017-05-24 00:00:00+00:00,10.56315,7,0,0.000486
9f6377abf78fdbef,0,2017-05-24 00:00:00+00:00,390.69455,68,0.00096,0.045412
82370efaf1117422,2,2017-05-24 00:00:00+00:00,201.6781667,51,0.00288,0.042558
c8bcf3933b359038,0,2017-05-24 00:00:00+00:00,663.2112333,48,0.02688,0.025695
b1e2e86a954009a0,1,2017-05-24 00:00:00+00:00,35.47258333,5,0,0.000365
a1e9adeac739087a,1,2017-05-24 00:00:00+00:00,15.2133,1,0,0.000030
57c15ce78428b4d3,0,2017-05-24 00:00:00+00:00,1.759566667,1,0,0.000030
600656c6e9dba7e0,2,2017-05-24 00:00:00+00:00,2.05245,2,0,0.000045
e486791a9167f8a4,1,2017-05-24 00:00:00+00:00,799.7188833,73,0.0048,0.031537
9ff28dd439aef8ba,2,2017-05-24 00:00:00+00:00,2.431483333,1,0,0.000060
1149df7e66174cb2,0,2017-05-24 00:00:00+00:00,18.81091667,11,0,0.000980
9b3f8f4d36571692,1,2017-05-24 00:00:00+00:00,1.023166667,1,0,0.000030
b447e5bdb265aae3,2,2017-05-24 00:00:00+00:00,3684.5849,247,0.00192,0.103918
cb000e13e4e9eeb1,1,2017-05-24 00:00:00+00:00,7.882466667,1,0,0.000060
77c6868f5d87b9f,2,2017-05-24 00:00:00+00:00,400.3930333,52,0.00048,0.017279
f36766af78a2d12d,0,2017-05-24 00:00:00+00:00,16.02751667,3,0.00096,0.000090
e8909ab5729af06a,2,2017-05-24 00:00:00+00:00,5.517383333,1,0,0.000045
d1073891f48a54c,1,2017-05-24 00:00:00+00:00,7.340716667,1,0,0.000000
4a558655192ff3a8,1,2017-05-24 00:00:00+00:00,7.66925,1,0,0.000060
c06d02aa833d5a9e,2,2017-05-24 00:00:00+00:00,644.0712167,116,0.00096,0.083358
69ff8c5c4a458d95,2,2017-05-24 00:00:00+00:00,3.12355,1,0,0.000120
9cc0948a5d9995f5,0,2017-05-24 00:00:00+00:00,75.56058333,7,0,0.000870
df4d956baabf6780,1,2017-05-24 00:00:00+00:00,11.4281,1,0.00048,0.000330
a54763ad48865c93,0,2017-05-24 00:00:00+00:00,89.3007,13,0,0.000906
8fd1924363b071a,0,2017-05-24 00:00:00+00:00,48.90908333,1,0,0.000180
e0184e4c2f5011a7,1,2017-05-24 00:00:00+00:00,25.57406667,4,0.00096,0.000210
6a0fd43e1bdbc715,2,2017-05-24 00:00:00+00:00,307.5142833,31,0,0.001634
3f05e78177637196,1,2017-05-24 00:00:00+00:00,8.9145,8,0,0.000432
cade6afa522f1395,2,2017-05-24 00:00:00+00:00,711.8791667,122,0.07344,0.016619
51e5cf8c5f4d6cf,0,2017-05-24 00:00:00+00:00,46.84951667,14,0,0.000775
bab782ec6af56de4,1,2017-05-24 00:00:00+00:00,617.84475,57,0.01392,0.035145
6770b64b5bc4670e,2,2017-05-24 00:00:00+00:00,43.59016667,3,0.00048,0.000213
8e24974438a56e49,0,2017-05-24 00:00:00+00:00,3.338733333,1,0,0.000942
33725265d1af43ca,1,2017-05-24 00:00:00+00:00,33.00821667,8,0,0.000369
8650dca633b5495c,2,2017-05-24 00:00:00+00:00,22.62191667,2,0,0.000141
588c6e5b29f84a41,0,2017-05-24 00:00:00+00:00,3.407666667,1,0,0.000150
b03f5a969c01a9ca,1,2017-05-24 00:00:00+00:00,34.36575,1,0.00096,0.000765
50f177f895f542f4,0,2017-05-24 00:00:00+00:00,704.23055,76,0.01104,0.031261
afdee52e7b46c5ca,2,2017-05-24 00:00:00+00:00,34.68143333,2,0,0.000120
2b2a01b9e9ec896a,2,2017-05-24 00:00:00+00:00,105.0129167,28,0.00144,0.010439
10d1f072e431d189,2,2017-05-24 00:00:00+00:00,89.8775,24,0,0.008588
45cde939de921f14,2,2017-05-24 00:00:00+00:00,27.87183333,1,0.00048,0.000105
491fbb8f97e683f7,0,2017-05-24 00:00:00+00:00,21.78418333,1,0.00048,0.000030
54f00b9197c3c423,1,2017-05-24 00:00:00+00:00,2.584433333,2,0,0.000120
e503b025c139d6a5,1,2017-05-24 00:00:00+00:00,1.82025,1,0,0.000897
95c85c456c204e14,0,2017-05-24 00:00:00+00:00,33.5569,3,0.00048,0.000438
32a0936dd88b5710,2,2017-05-24 00:00:00+00:00,336.3245,76,0.00624,0.015325
26b4008ee47a1335,2,2017-05-24 00:00:00+00:00,1584.296233,131,0.00432,0.043258
54ac622b1fae3d1b,0,2017-05-24 00:00:00+00:00,3.052366667,2,0,0.000180
5ac650c0f709cc69,1,2017-05-24 00:00:00+00:00,962.3051833,123,0,0.008652
db6379f072fb4c26,1,2017-05-24 00:00:00+00:00,24.33283333,1,0,0.000255
3ff964fa7e0dcae8,0,2017-05-24 00:00:00+00:00,11.5814,1,0,0.000480
45d97bbad1f7e64c,2,2017-05-24 00:00:00+00:00,2840.7521,155,0.01632,0.100659
1fcc574d0faa5ab4,2,2017-05-24 00:00:00+00:00,186.5551167,16,0,0.012332
4bb9c2e97384f1c9,1,2017-05-24 00:00:00+00:00,12.57843333,2,0,0.000137
3e609ff1e4d84074,0,2017-05-24 00:00:00+00:00,2.8317,1,0,0.000030
1bca1029d4859c0f,1,2017-05-24 00:00:00+00:00,428.372,64,0.00384,0.094723
5ebb7cc9778f9fe9,2,2017-05-24 00:00:00+00:00,963.2061167,95,0.00048,0.138910
71d07a55b24b7bc8,0,2017-05-24 00:00:00+00:00,1785.83665,139,0.0144,0.077488
fea2188e5c733c9,2,2017-05-24 00:00:00+00:00,4.4425,2,0,0.000372
4d51cd9fc9b589a6,0,2017-05-24 00:00:00+00:00,86.55716667,10,0,0.060807
14441925f3f2e210,2,2017-05-24 00:00:00+00:00,336.7158167,19,0.00288,0.000022
9c5522d0454918e9,1,2017-05-24 00:00:00+00:00,161.9064,37,0.00288,0.017465
10bc719cf4bcd56a,1,2017-05-24 00:00:00+00:00,762.2245667,66,0,0.004912
9136a4e6bfccd6dc,2,2017-05-24 00:00:00+00:00,74.49848333,13,0.00384,0.013475
9892a5a8463dc180,1,2017-05-24 00:00:00+00:00,61.8839,4,0.00384,0.001029
55d2516c12b4a541,2,2017-05-24 00:00:00+00:00,22.53421667,2,0,0.000479
36c2a3a9e61912ba,2,2017-05-24 00:00:00+00:00,3.86415,1,0,0.000015
7bf9b7bd62434bfa,0,2017-05-24 00:00:00+00:00,6.882583333,1,0.00096,0.000330
2a754fa3e63ce6c6,1,2017-05-24 00:00:00+00:00,1137.002567,111,0.00192,0.050651
6a1a5f35de90da93,1,2017-05-24 00:00:00+00:00,255.3535667,39,0,0.098220
d7a96259a6f91308,0,2017-05-24 00:00:00+00:00,41.20466667,9,0,0.000852
60c51e432536db7e,2,2017-05-24 00:00:00+00:00,94.68348333,3,0,0.000413
d75909dab1bc6dc5,0,2017-05-24 00:00:00+00:00,0.785983333,1,0,0.000030
87945622889f470f,1,2017-05-24 00:00:00+00:00,2.471733333,2,0.00048,0.000030
bd0ae2fe2012e96,1,2017-05-24 00:00:00+00:00,11.68936667,2,0,0.002769
563b5fc4f5dfccac,2,2017-05-24 00:00:00+00:00,8.044066667,1,0,0.000120
2fc678f78311764a,2,2017-05-24 00:00:00+00:00,62.45136667,6,0,0.000395
99701a625a73f94b,0,2017-05-24 00:00:00+00:00,134.5609,21,0.0024,0.000393
d34d9cc130bbcc10,0,2017-05-24 00:00:00+00:00,26.5111,3,0,0.000471
edbcdb2e66c50e1c,2,2017-05-24 00:00:00+00:00,12.87371667,3,0.00048,0.000302
7d2ba48ec1e3b400,0,2017-05-24 00:00:00+00:00,27.2486,5,0,0.000165
49a1ac13cef1d3fe,1,2017-05-24 00:00:00+00:00,9.45385,2,0.00096,0.000285
